NNQT_question,uid,subgraph,template_index,question,sparql_wikidata,sparql_dbpedia18,template,paraphrased_question,sparql_wikidata_translated,descriptions
Give me {sedative} that starts with {'n'},24340,string matching simple contains word,2950,Tell me the sedative that starts with the letter n,"SELECT DISTINCT ?sbj ?sbj_label WHERE { ?sbj wdt:P31 wd:Q847705 . ?sbj rdfs:label ?sbj_label . FILTER(STRSTARTS(lcase(?sbj_label), 'n')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25 ","SELECT DISTINCT ?sbj ?sbj_label { ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> ?sbj . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P31> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> <http://wikidata.dbpedia.org/resource/Q847705>. ?sbj rdfs:label ?sbj_label . FILTER(STRSTARTS(lcase(?sbj_label), 'n')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25", <?S P O ; ?S instanceOf Type ; starts with character >,Tell me how sedative the letter n begins,"SELECT DISTINCT ?sbj ?sbj_label WHERE { ?sbj [instance of] [sedative] . ?sbj rdfs:label ?sbj_label . FILTER(STRSTARTS(lcase(?sbj_label), 'n')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25 ","['[sedative] is a drug that subdues excitement and calms the subject without inducing sleep, though drowsiness may be produced', '[instance of] is that class of which this subject is a particular example and member; different from P279 (subclass of); for example: K2 is an instance of mountain; volcano is a subclass of mountain (and an instance of volcanic landform)']"
What is {nominal GDP} of {La Rioja} that is {point in time} is {2015-0-0} ?,9225,statement_property,5670,What is the nominal GDP of La Rioja in the year 2015?,"SELECT ?obj WHERE { wd:Q5727 p:P2131 ?s . ?s ps:P2131 ?obj . ?s pq:P585 ?x filter(contains(YEAR(?x),'2015')) }","select distinct ?obj  where {
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q5727> .
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P2131> .
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?obj .
?statement <http://www.wikidata.org/entity/P585> <2015-0-0>
} 
",(E pred F) prop ?value,What was the Gross Domestic Product of La Rioja in 2015?,"SELECT ?obj WHERE { [La Rioja] [nominal GDP] ?s . ?s [nominal GDP] ?obj . ?s [point in time] ?x filter(contains(YEAR(?x),'2015')) }","['[nominal GDP] is market value of all officially recognized final goods and services produced within a country in a given period of time', '[point in time] is date something took place, existed or a statement was true; for providing time use the ""refine date"" property (P4241)', '[La Rioja] is autonomous community and province of Spain', '[nominal GDP] is market value of all officially recognized final goods and services produced within a country in a given period of time']"
Does the {number of losses} of the {1924 British Lions tour to South Africa} {equals} {9},18191,boolean with filter,209,Does the number of losses of the 1924 British Lions tour to South Africa equal 9?,ASK WHERE { wd:Q3535469 wdt:P1356 ?obj filter(?obj = 9) } ,ASK { ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q3535469> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P1356>. ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?obj. filter(?obj = 9) },ASK ?sbj ?pred ?obj filter ?obj = num,Did the 1924 British Lions tour to South Africa lose 9 times?,ASK WHERE { [1924 British Lions tour to South Africa] [number of losses] ?obj filter(?obj = 9) } ,"['[number of losses] is number of sporting matches, games or events lost', '[1924 British Lions tour to South Africa] is series of rugby union matches']"
"What is {pupil of} of {Gioachino Rossini}, that has {career} is {musicologist} ?",13832,right-subgraph,1543,what {pupil of} {gioachino Rossini} has a {career} as a {musicologist},SELECT ?answer WHERE { wd:Q9726 wdt:P1066 ?answer . ?answer wdt:P106 wd:Q14915627},SELECT ?answer WHERE { ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q9726> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P1066>. ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?answer . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> ?answer. ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P106> . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> <http://wikidata.dbpedia.org/resource/Q14915627> . },E REF ?F . ?F RFG G,what {pupil of} {gioachino Rossini} has a {career} as a {musicologist},SELECT ?answer WHERE { [Gioachino Rossini] [student of] ?answer . ?answer [occupation] [musicologist]},"['[student of] is person who has taught this person', '[musicologist] is person who studies music as a branch of knowledge or field of research as distinct from composition or performance', '[occupation] is occupation of a person; see also ""field of work"" (Property:P101), ""position held"" (Property:P39)', '[Gioachino Rossini] is Italian opera composer (1792–1868)']"
Does the {pitting resistance equivalent number} of the {UNS S32760 / EN 1.4501 super duplex stainless steel} {greater than} {48.0},19594,boolean with filter,1612,Is the pitting resistance equivalent number of the UNS S32760 / EN 1.4501 super duplex stainless steel more than 48?,ASK WHERE { wd:Q55841586 wdt:P5624 ?obj filter(?obj > 48.0) } ,ASK { ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q55841586> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P5624>. ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?obj. filter(?obj > 48.0) },ASK ?sbj ?pred ?obj filter ?obj = num,Is the pitting resistance equivalent number of the UNS S32760 / EN 1.4501 super duplex stainless stell greater than 48?,ASK WHERE { [UNS S32760 / EN 1.4501 super duplex stainless steel] [pitting resistance equivalent number] ?obj filter(?obj > 48.0) } ,"['[pitting resistance equivalent number] is predictive measurement of a stainless steels resistance to localized pitting corrosion', '[UNS S32760 / EN 1.4501 super duplex stainless steel] is One of the most common super duplex stainless steels']"
"What is {etymology} of {Lebesgue integration}, that has {death} is {1942-7-26} ?",13192,right-subgraph,96,What Lebesgue integration etymology died in 1942-7-26?,"SELECT ?answer WHERE { wd:Q853831 wdt:P138 ?answer . ?answer wdt:P570 ?x FILTER(contains(YEAR(?x),'1942'))}",SELECT ?answer WHERE { ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q853831> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P138>. ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?answer . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> ?answer. ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P570> . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> <1942-7-26> . },E REF ?F . ?F RFG G,What Lebesgue integration historical underpinnings passed on in 1942-7-26?,"SELECT ?answer WHERE { [Lebesgue integration] [named after] ?answer . ?answer [date of death] ?x FILTER(contains(YEAR(?x),'1942'))}","['[named after] is entity or event that inspired the subject\'s name, or namesake (in at least one language). Qualifier ""applies to name"" (P5168) can be used to indicate which one', '[date of death] is date on which the subject died', '[Lebesgue integration] is Method of integration']"
What is the {human} for {professional or sports partner} of {Scott Moir},21601,simple question left,1947,Who is the {human} for {professional or sports partner} of {Scott Moir}, select distinct ?sbj where { ?sbj wdt:P1327 wd:Q440940 . ?sbj wdt:P31 wd:Q5 } ,select distinct ?subj where { ?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> ?subj . ?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P1327> . ?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> <http://wikidata.dbpedia.org/resource/Q440940> . ?subj <http://www.wikidata.org/entity/P31> <http://wikidata.dbpedia.org/resource/Q5> } ,<?S P O ; ?S InstanceOf Type>,Who is the {human} for {proficient or sports accomplice} of {Scott Moir}, select distinct ?sbj where { ?sbj [partner in business or sport] [Scott Moir] . ?sbj [instance of] [human] } ,"['[human] is any member of Homo sapiens, unique extant species of the genus Homo, from embryo to adult', '[instance of] is that class of which this subject is a particular example and member; different from P279 (subclass of); for example: K2 is an instance of mountain; volcano is a subclass of mountain (and an instance of volcanic landform)', '[Scott Moir] is Canadian ice dancer', '[partner in business or sport] is professional collaborator']"
What is {twin city} of {admin HQ} of {Politecnico di Milano} ?,15011,right-subgraph,832,What is the administration head quarters of the twin city of Politecnico di Milano?,SELECT ?answer WHERE { wd:Q392904 wdt:P159 ?X . ?X wdt:P190 ?answer},SELECT ?answer WHERE { ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q392904> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P159>. ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?X . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> ?X. ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P190> . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?answer . },E REF xF . xF RFG ?G,What is Politecnico di Milano's twin city's administrative head quarters?,SELECT ?answer WHERE { [Polytechnic University of Milan] [headquarters location] ?X . ?X [twinned administrative body] ?answer},"['[twinned administrative body] is twin towns, sister cities, twinned municipalities and other localities that have a partnership or cooperative agreement, either legally or informally acknowledged by their governments', ""[headquarters location] is city or town where an organization's headquarters is or has been situated. Use P276 qualifier for specific building"", '[Polytechnic University of Milan] is technical university in Milan, Italy']"
What is the {participant of} and the {member of} of {Pope_Benedict_XVI} ?,10077,two intentions right subgraph,213,who is the participant and member Pope_Benedict_XVI?,SELECT ?ans_1 ?ans_2 WHERE { wd:Q2494 wdt:P1344 ?ans_1 . wd:Q2494 wdt:P463 ?ans_2 }, SELECT ?ans_1 ?ans_2 WHERE { ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q2494> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P1344> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?ans_1. ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q2494> . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P463> . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?ans_2. } ,select where (ent-pred-obj1 . ent-pred-obj2),Name the participant and member that Pope_Benedict_XVI refers to.,SELECT ?ans_1 ?ans_2 WHERE { [Benedict XVI] [participant in] ?ans_1 . [Benedict XVI] [member of] ?ans_2 },"['[Benedict XVI] is pope of the Catholic Church from 2005 to 2013 (1927–2022)', '[Benedict XVI] is pope of the Catholic Church from 2005 to 2013 (1927–2022)', '[member of] is organization, club or musical group to which the subject belongs. Do not use for membership in ethnic or social groups, nor for holding a political position, such as a member of parliament (use P39 for that)', '[participant in] is event in which a person or organization was/is a participant; inverse of P710 or P1923']"
What is {has grammatical person} of {uses language} of {PewDiePie} ?,15673,right-subgraph,388,What language does PewDiePie speak?,SELECT ?answer WHERE { wd:Q13423853 wdt:P1412 ?X . ?X wdt:P5110 ?answer},SELECT ?answer WHERE { ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q13423853> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P1412>. ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?X . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> ?X. ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P5110> . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?answer . },E REF xF . xF RFG ?G,What language does PewDiePie talk?,"SELECT ?answer WHERE { [PewDiePie] [languages spoken, written or signed] ?X . ?X [has grammatical person] ?answer}","['[has grammatical person] is grammatical feature relating to the identity of participants in an event', '[languages spoken, written or signed] is language(s) that a person or a people speaks, writes or signs, including the native language(s)', '[PewDiePie] is Swedish YouTuber (born 1989)']"
What is {position held} of {Helmut Schmidt} that is {start time} is {1953-0-0} ?,7075,statement_property,3520,What position did Helmut Schmidt hold starting in 1953?,"SELECT ?obj WHERE { wd:Q2516 p:P39 ?s . ?s ps:P39 ?obj . ?s pq:P580 ?x filter(contains(YEAR(?x),'1953')) }","select distinct ?obj  where {
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q2516> .
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P39> .
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?obj .
?statement <http://www.wikidata.org/entity/P580> <1953-0-0>
} 
",(E pred F) prop ?value,In what Helmut Schmidt worked in the year 1953?,"SELECT ?obj WHERE { [Helmut Schmidt] [position held] ?s . ?s [position held] ?obj . ?s [start time] ?x filter(contains(YEAR(?x),'1953')) }","['[position held] is subject currently or formerly holds the object position or public office', '[position held] is subject currently or formerly holds the object position or public office', '[start time] is time an entity begins to exist or a statement starts being valid', '[Helmut Schmidt] is Chancellor of West Germany from 1974 to 1982 (1918–2015)']"
What is {head coach} of {A.C. Milan} that is {end time} is {2016-0-0} ?,6636,statement_property,3081,When was A.C. Milan retired from Head coach post?,"SELECT ?obj WHERE { wd:Q1543 p:P286 ?s . ?s ps:P286 ?obj . ?s pq:P582 ?x filter(contains(YEAR(?x),'2016')) }","select distinct ?obj  where {
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q1543> .
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P286> .
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?obj .
?statement <http://www.wikidata.org/entity/P582> <2016-0-0>
} 
",(E pred F) prop ?value,When did A.C. Milan retire as head coach?,"SELECT ?obj WHERE { [AC Milan] [head coach] ?s . ?s [head coach] ?obj . ?s [end time] ?x filter(contains(YEAR(?x),'2016')) }","['[head coach] is on-field manager or head coach of a sports club (not to be confused with a general manager P505, which is not a coaching position) or person', '[head coach] is on-field manager or head coach of a sports club (not to be confused with a general manager P505, which is not a coaching position) or person', '[end time] is moment when an entity ceases to exist or a statement stops being valid', '[AC Milan] is football club in Milan, Italy']"
what is the {valid in period} for {Aix-en-Provence} has {located in time zone} as {UTC+02:00} ?,4281,statement_property,726,What time zone is Aix-en-Provence located?,SELECT ?value WHERE { wd:Q47465 p:P421 ?s . ?s ps:P421 wd:Q6723 . ?s pq:P1264 ?value},"select distinct ?value  where {
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q47465> .
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P421> .
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> <http://wikidata.dbpedia.org/resource/Q6723> .
?statement <http://www.wikidata.org/entity/P1264> ?value. 
} 
",(E pred ?Obj ) prop value,In what time zone is Aix-en-Provence located?,SELECT ?value WHERE { [Aix-en-Provence] [located in time zone] ?s . ?s [located in time zone] [UTC+02:00] . ?s [valid in period] ?value},"['[located in time zone] is time zone for this item', '[valid in period] is time period when a statement is valid', '[located in time zone] is time zone for this item', '[UTC+02:00] is identifier for a time offset from UTC of +2', ""[Aix-en-Provence] is French commune in Bouches-du-Rhône, Provence-Alpes-Côte d'Azur""]"
What is the {city} for {country} of {Roman Empire},22719,simple question left,3780,Rome was the capital of what former empire?, select distinct ?sbj where { ?sbj wdt:P17 wd:Q2277 . ?sbj wdt:P31 wd:Q515 } ,select distinct ?subj where { ?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> ?subj . ?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P17> . ?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> <http://wikidata.dbpedia.org/resource/Q2277> . ?subj <http://www.wikidata.org/entity/P31> <http://wikidata.dbpedia.org/resource/Q515> } ,<?S P O ; ?S InstanceOf Type>,What old empire had Rome as the capital?, select distinct ?sbj where { ?sbj [country] [Roman Empire] . ?sbj [instance of] [city] } ,"['[Roman Empire] is period of ancient Rome following the Republic', '[city] is large human settlement', '[instance of] is that class of which this subject is a particular example and member; different from P279 (subclass of); for example: K2 is an instance of mountain; volcano is a subclass of mountain (and an instance of volcanic landform)', '[country] is sovereign state that this item is in (not to be used for human beings)']"
Give me {historical event} that starts with {'w'},24529,string matching simple contains word,3855,What are the historical event which start with the letter w,"SELECT DISTINCT ?sbj ?sbj_label WHERE { ?sbj wdt:P31 wd:Q13418847 . ?sbj rdfs:label ?sbj_label . FILTER(STRSTARTS(lcase(?sbj_label), 'w')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25 ","SELECT DISTINCT ?sbj ?sbj_label { ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> ?sbj . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P31> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> <http://wikidata.dbpedia.org/resource/Q13418847>. ?sbj rdfs:label ?sbj_label . FILTER(STRSTARTS(lcase(?sbj_label), 'w')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25", <?S P O ; ?S instanceOf Type ; starts with character >,What are the verifiable occasion which begin with the letter w,"SELECT DISTINCT ?sbj ?sbj_label WHERE { ?sbj [instance of] [historical event] . ?sbj rdfs:label ?sbj_label . FILTER(STRSTARTS(lcase(?sbj_label), 'w')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25 ","['[historical event] is particular incident in history that brings about a historical change', '[instance of] is that class of which this subject is a particular example and member; different from P279 (subclass of); for example: K2 is an instance of mountain; volcano is a subclass of mountain (and an instance of volcanic landform)']"
Did {Vince_Vaughn} {residence} {Lake Forest} and {Buffalo Grove} ?,992,boolean double one_hop right subgraph,492,Does Vince Vaughn have a residence in both Lake Forest and Buffalo Grove?,ASK WHERE { wd:Q107730 wdt:P551 wd:Q575355 . wd:Q107730 wdt:P551 wd:Q967086 }, ASK { ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q107730> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P551> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> <http://wikidata.dbpedia.org/resource/Q575355>. ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q107730> . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P551> . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> <http://wikidata.dbpedia.org/resource/Q967086>. } ,Ask (ent-pred-obj1 . ent-pred-obj2),Does Vince Vaughn have a place in both Lake Forest and Buffalo Grove,ASK WHERE { [Vince Vaughn] [residence] [Lake Forest] . [Vince Vaughn] [residence] [Buffalo Grove] },"['[residence] is the place where the person is or has been, resident', '[residence] is the place where the person is or has been, resident', '[Lake Forest] is city in Lake County, Illinois, United States', '[Vince Vaughn] is American actor', '[Buffalo Grove] is village in Cook County, Illinois, United States of America', '[Vince Vaughn] is American actor']"
What is the {God} for {incarnation of} of {Jesus Christ},21951,simple question right,3012,which religion has it's God incarnated as Jesus Christ?, select distinct ?obj where { wd:Q302 wdt:P3701 ?obj . ?obj wdt:P31 wd:Q190 } ,select distinct ?obj where { ?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q302> . ?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P3701> . ?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?obj . ?obj <http://www.wikidata.org/entity/P31> <http://wikidata.dbpedia.org/resource/Q190> } , <S P ?O ; ?O instanceOf Type>,which religion has it's God incarnated as Jesus Christ?, select distinct ?obj where { [Jesus] [incarnation of] ?obj . ?obj [instance of] [God] } ,"['[Jesus] is central figure of Christianity (6 or 4 BC – AD 30 or 33)', '[incarnation of] is incarnation of another religious or supernatural being', '[God] is principal object of faith in monotheistic religions, a divine entity that created and typically supervises all existence', '[instance of] is that class of which this subject is a particular example and member; different from P279 (subclass of); for example: K2 is an instance of mountain; volcano is a subclass of mountain (and an instance of volcanic landform)']"
What is the {second family name in Spanish name} and the {position played on team / speciality} of {Diego_Maradona} ?,10086,two intentions right subgraph,243,What is Diego Maradona's second Spanish family name and what position does he play?,SELECT ?ans_1 ?ans_2 WHERE { wd:Q17515 wdt:P1950 ?ans_1 . wd:Q17515 wdt:P413 ?ans_2 }, SELECT ?ans_1 ?ans_2 WHERE { ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q17515> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P1950> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?ans_1. ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q17515> . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P413> . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?ans_2. } ,select where (ent-pred-obj1 . ent-pred-obj2),What is Diego Maradona's moment Spanish family title and what position does he play?,SELECT ?ans_1 ?ans_2 WHERE { [Diego Maradona] [second family name in Spanish name] ?ans_1 . [Diego Maradona] [position played on team / speciality] ?ans_2 },"['[Diego Maradona] is Argentine football player and manager (1960–2020)', '[Diego Maradona] is Argentine football player and manager (1960–2020)', '[position played on team / speciality] is position or specialism of a player on a team', '[second family name in Spanish name] is second (generally maternal) family name in Spanish names (do not use for other double barrelled names) and in some French names.']"
what is the {point in time} for {Gian Maria Volonté} has {award received} as {Silver Bear} ?,8409,statement_property,4854,When was Gian Maria Volonté awarded the Silver Bear?,SELECT ?value WHERE { wd:Q317110 p:P166 ?s . ?s ps:P166 wd:Q708135 . ?s pq:P585 ?value},"select distinct ?value  where {
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q317110> .
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P166> .
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> <http://wikidata.dbpedia.org/resource/Q708135> .
?statement <http://www.wikidata.org/entity/P585> ?value. 
} 
",(E pred ?Obj ) prop value,Give me the date Gian Maria Volonte was awarded the Silver Bear.,SELECT ?value WHERE { [Gian Maria Volonté] [award received] ?s . ?s [award received] [Silver Bear] . ?s [point in time] ?value},"['[award received] is award or recognition received by a person, organization or creative work', '[point in time] is date something took place, existed or a statement was true; for providing time use the ""refine date"" property (P4241)', '[award received] is award or recognition received by a person, organization or creative work', '[Gian Maria Volonté] is Italian actor (1933-1994)', '[Silver Bear] is film award']"
What is {has translation} of {originating source} of {Lê dynasty} ?,16987,right-subgraph,28,What is  translation for originating source of Lê dynasty ?,SELECT ?answer WHERE { wd:Q10800789 wdt:P248 ?X . ?X wdt:P747 ?answer},SELECT ?answer WHERE { ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q10800789> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P248>. ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?X . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> ?X. ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P747> . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?answer . },E REF xF . xF RFG ?G,What is interpretation for beginning source of Lê tradition ?,SELECT ?answer WHERE { [Lê dynasty] [stated in] ?X . ?X [has edition or translation] ?answer},"['[stated in] is to be used in the references field to refer to the information document or database in which a claim is made; for qualifiers use P805; for the type of document in which a claim is made use P3865', '[Lê dynasty] is imperial dynasty in Vietnam', '[has edition or translation] is link to an edition of this item']"
What is {local dialing code} of {Houston} that is {country calling code} is {+1} ?,6632,statement_property,3077,Does the local dialling code for Houston include the country calling code +1?,"SELECT ?obj WHERE { wd:Q16555 p:P473 ?s . ?s ps:P473 ?obj . ?s pq:P474 ?x filter(contains(?x,'+1')) }","select distinct ?obj  where {
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q16555> .
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P473> .
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?obj .
?statement <http://www.wikidata.org/entity/P474> <+1>
} 
",(E pred F) prop ?value,Is =+1 included for the local houston country dialing code,"SELECT ?obj WHERE { [Houston] [local dialing code] ?s . ?s [local dialing code] ?obj . ?s [country calling code] ?x filter(contains(?x,'+1')) }","['[local dialing code] is identifier dedicated to subject city by the area communication network', '[local dialing code] is identifier dedicated to subject city by the area communication network', '[country calling code] is identifier for a country - dialed on phone after the international dialing prefix (precede value by +)', '[Houston] is city in Harris, Fort Bend, and Montgomery counties in Texas, United States, and the county seat of Harris County']"
what is the {start time} for {Nebraska} has {motto text} as {Equality before the law} ?,4356,statement_property,801,"When did Nebraska adopt the motto ""Equality Before the Law""?","SELECT ?value WHERE { wd:Q1553 p:P1451 ?s . ?s ps:P1451 ?x filter(contains(?x,'Equality before the law')) . ?s pq:P580 ?value}","select distinct ?value  where {
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q1553> .
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P1451> .
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> <Equality before the law> .
?statement <http://www.wikidata.org/entity/P580> ?value. 
} 
",(E pred ?Obj ) prop value,"Nebraska adopted the motto "" Equality Before the Law"" when?","SELECT ?value WHERE { [Nebraska] [motto text] ?s . ?s [motto text] ?x filter(contains(?x,'Equality before the law')) . ?s [start time] ?value}","['[motto text] is short motivation sentence associated to item', '[Nebraska] is state of the United States of America', '[start time] is time an entity begins to exist or a statement starts being valid', '[motto text] is short motivation sentence associated to item']"
