NNQT_question,uid,subgraph,template_index,question,sparql_wikidata,sparql_dbpedia18,template,paraphrased_question,wikidata_translated
Does the {stated age at event} of the {Rolf-Axel Eberhardt} {greater than} {52.0},18706,boolean with filter,724,Is the stated age of Rolf-Axel Eberhardt greater than 52?,ASK WHERE { wd:Q50334841 wdt:P3629 ?obj filter(?obj > 52.0) } ,ASK { ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q50334841> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P3629>. ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?obj. filter(?obj > 52.0) },ASK ?sbj ?pred ?obj filter ?obj = num,Is Rolf - Axel Eberhardt's stated age greater than 52?,ASK WHERE { Rolf-Axel Eberhardt age of subject at event ?obj filter(?obj > 52.0) } 
what is the {start time} for {Podgorica} has {country} as {Principality of Montenegro} ?,9315,statement_property,5760,When Podgorica started as Principality of Montenegro?,SELECT ?value WHERE { wd:Q23564 p:P17 ?s . ?s ps:P17 wd:Q779011 . ?s pq:P580 ?value},"select distinct ?value  where {
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q23564> .
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P17> .
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> <http://wikidata.dbpedia.org/resource/Q779011> .
?statement <http://www.wikidata.org/entity/P580> ?value. 
} 
",(E pred ?Obj ) prop value,When did Podgorica start as Principality of Montenegro?,SELECT ?value WHERE { Podgorica p:P17 ?s . ?s ps:P17 Principality of Montenegro . ?s pq:P580 ?value}
Does the {enthalpy of vaporization} of the {methanol} {equals} {37400},18594,boolean with filter,612,IS THE ENTHALPY OF VAPORIZATION OF METHANOL IS EQUAL TO 37400,ASK WHERE { wd:Q14982 wdt:P2116 ?obj filter(?obj = 37400) } ,ASK { ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q14982> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P2116>. ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?obj. filter(?obj = 37400) },ASK ?sbj ?pred ?obj filter ?obj = num,Does the total quantity of Methanol Vaporization equal 37400?,ASK WHERE { methanol molar enthalpy of vaporization ?obj filter(?obj = 37400) } 
What is the {award} for {award received} of {Mary Tyler Moore},20798,simple question right,1144,What award was received Mary Tyler Moore ?, select distinct ?obj where { wd:Q41342 wdt:P166 ?obj . ?obj wdt:P31 wd:Q618779 } ,select distinct ?obj where { ?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q41342> . ?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P166> . ?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?obj . ?obj <http://www.wikidata.org/entity/P31> <http://wikidata.dbpedia.org/resource/Q618779> } , <S P ?O ; ?O instanceOf Type>,What grant was gotten Mary Tyler Moore ?, select distinct ?obj where { Mary Tyler Moore award received ?obj . ?obj instance of award } 
what is the {language of work or name} for {Tuesday} has {named after} as {3} ?,4184,statement_property,629,what is Tuesday named after?,SELECT ?value WHERE { wd:Q127 p:P138 ?s . ?s ps:P138 wd:Q201 . ?s pq:P407 ?value},"select distinct ?value  where {
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q127> .
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P138> .
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> <http://wikidata.dbpedia.org/resource/Q201> .
?statement <http://www.wikidata.org/entity/P407> ?value. 
} 
",(E pred ?Obj ) prop value,Where does Tuesday get its name from?,SELECT ?value WHERE { Tuesday p:P138 ?s . ?s ps:P138 3 . ?s pq:P407 ?value}
How many {archives at} are for {Grace Hopper} ?,1467,statement_property,467,How many of the archives are for Grace Hopper?,SELECT (COUNT(?obj) AS ?value ) { wd:Q11641 wdt:P485 ?obj },"SELECT (COUNT(?obj) AS ?objs ) {
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q11641> .
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P485> .
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?obj .
} 
",Count Obj (ent-pred-obj),"Out of the archives, which are for Grace Hopper?",SELECT (COUNT(?obj) AS ?value ) { Grace Hopper archives at ?obj }
"What is {place of first performance} of {Tartuffe}, that has {farthest east} is {48.8363848 2.4697602} ?",12297,right-subgraph,1834,Where is the place of Tartuffe's first performance with the farthest east coordinates of 48.8363848 2.4697602?,"SELECT ?answer WHERE { wd:Q205875 wdt:P4647 ?answer . ?answer wdt:P1334 ?x FILTER(contains(?x,'48.8363848 2.4697602'))}",SELECT ?answer WHERE { ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q205875> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P4647>. ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?answer . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> ?answer. ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P1334> . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> <48.8363848 2.4697602> . },E REF ?F . ?F RFG G,Where is the put of Tartuffe's to begin with execution with the most remote east facilitates of 48.8363848 2.4697602?,"SELECT ?answer WHERE { Tartuffe location of first performance ?answer . ?answer coordinates of easternmost point ?x FILTER(contains(?x,'48.8363848 2.4697602'))}"
Give me {military operation} that starts with {'o'},24033,string matching simple contains word,2601,What are the military operation which start with the letter o,"SELECT DISTINCT ?sbj ?sbj_label WHERE { ?sbj wdt:P31 wd:Q645883 . ?sbj rdfs:label ?sbj_label . FILTER(STRSTARTS(lcase(?sbj_label), 'o')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25 ","SELECT DISTINCT ?sbj ?sbj_label { ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> ?sbj . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P31> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> <http://wikidata.dbpedia.org/resource/Q645883>. ?sbj rdfs:label ?sbj_label . FILTER(STRSTARTS(lcase(?sbj_label), 'o')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25", <?S P O ; ?S instanceOf Type ; starts with character >,Which military operation  stars with the letter o?,"SELECT DISTINCT ?sbj ?sbj_label WHERE { ?sbj instance of military operation . ?sbj rdfs:label ?sbj_label . FILTER(STRSTARTS(lcase(?sbj_label), 'o')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25 "
Does the {matches/games drawn/tied} of the {2001 British and Irish Lions tour to Australia} {equals} {0},19306,boolean with filter,1324,Is the matches/games drawn/tied of the 2001 British and Irish Lions tour to Australia equal to 0?,ASK WHERE { wd:Q3535481 wdt:P1357 ?obj filter(?obj = 0) } ,ASK { ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q3535481> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P1357>. ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?obj. filter(?obj = 0) },ASK ?sbj ?pred ?obj filter ?obj = num,"Were there 0 matches, games drawn and tied during the 2001 British and Irish Lions tour?",ASK WHERE { 2001 British and Irish Lions tour to Australia number of draws/ties ?obj filter(?obj = 0) } 
What is the {mother} and the {spouse} of {Candice_Bergen} ?,9729,two intentions right subgraph,37,Who is the mother and husband of Candice Bergen?,SELECT ?ans_1 ?ans_2 WHERE { wd:Q106942 wdt:P25 ?ans_1 . wd:Q106942 wdt:P26 ?ans_2 }, SELECT ?ans_1 ?ans_2 WHERE { ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q106942> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P25> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?ans_1. ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q106942> . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P26> . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?ans_2. } ,select where (ent-pred-obj1 . ent-pred-obj2),Who are Candice Bergen's parents?,SELECT ?ans_1 ?ans_2 WHERE { Candice Bergen mother ?ans_1 . Candice Bergen spouse ?ans_2 }
"What is {language written} of {Romy Schneider}, that has {has grammatical person} is {third-person plural} ?",12176,right-subgraph,2658,"""Which language written from Romy Schneider, has the grammatical person speaking as the third personal plural?""",SELECT ?answer WHERE { wd:Q78469 wdt:P1412 ?answer . ?answer wdt:P5110 wd:Q51929517},SELECT ?answer WHERE { ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q78469> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P1412>. ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?answer . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> ?answer. ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P5110> . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> <http://wikidata.dbpedia.org/resource/Q51929517> . },E REF ?F . ?F RFG G,"""Which dialect composed from Romy Schneider, has the syntactic individual talking as the third individual plural?""","SELECT ?answer WHERE { Romy Schneider languages spoken, written or signed ?answer . ?answer has grammatical person third-person plural}"
Does the {cash back} of the {ADAC Credit Card GOLD} {equals} {5},17989,boolean with filter,7,Does the cash back of the Gold  ADAC Credit Card equals 5?,ASK WHERE { wd:Q56746601 wdt:P4448 ?obj filter(?obj = 5) } ,ASK { ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q56746601> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P4448>. ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?obj. filter(?obj = 5) },ASK ?sbj ?pred ?obj filter ?obj = num,Is 5 the cash back value of the Gold ADAC Credit Card?,ASK WHERE { ADAC Credit Card GOLD cash back ?obj filter(?obj = 5) } 
What is the {character type} for {opposite of} of {superhero},20367,simple question right,713,Who is the opposite of the superhero?, select distinct ?obj where { wd:Q188784 wdt:P461 ?obj . ?obj wdt:P31 wd:Q636497 } ,select distinct ?obj where { ?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q188784> . ?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P461> . ?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?obj . ?obj <http://www.wikidata.org/entity/P31> <http://wikidata.dbpedia.org/resource/Q636497> } , <S P ?O ; ?O instanceOf Type>,What is the superhero's opposite?, select distinct ?obj where { superhero opposite of ?obj . ?obj instance of stock character } 
What is {using} of {sport played} of {World Rugby} ?,14778,right-subgraph,233,What is the use of playing World Rugby?,SELECT ?answer WHERE { wd:Q369225 wdt:P641 ?X . ?X wdt:P2283 ?answer},SELECT ?answer WHERE { ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q369225> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P641>. ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?X . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> ?X. ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P2283> . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?answer . },E REF xF . xF RFG ?G,What is the utilize of playing World Rugby?,SELECT ?answer WHERE { World Rugby sport ?X . ?X uses ?answer}
What is {population} of {Aden} that is {determination method} is {estimation process} ?,4370,statement_property,815,What is the current population of Aden?,SELECT ?obj WHERE { wd:Q131694 p:P1082 ?s . ?s ps:P1082 ?obj . ?s pq:P459 wd:Q791801 },"select distinct ?obj  where {
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q131694> .
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P1082> .
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?obj .
?statement <http://www.wikidata.org/entity/P459> <http://wikidata.dbpedia.org/resource/Q791801>
} 
",(E pred F) prop ?value,How many people do currently live in Aden?,SELECT ?obj WHERE { Aden p:P1082 ?s . ?s ps:P1082 ?obj . ?s pq:P459 estimation }
What is {spouse} of {Carlos Saura} that is {start time} is {2006-0-0} ?,8331,statement_property,4776,what is spouse of Carlos Saura that is start time is 2006?,"SELECT ?obj WHERE { wd:Q295855 p:P26 ?s . ?s ps:P26 ?obj . ?s pq:P580 ?x filter(contains(YEAR(?x),'2006')) }","select distinct ?obj  where {
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q295855> .
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P26> .
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?obj .
?statement <http://www.wikidata.org/entity/P580> <2006-0-0>
} 
",(E pred F) prop ?value,Whats the name of Carlos Saura's wife whom he married in 2006?,"SELECT ?obj WHERE { Carlos Saura p:P26 ?s . ?s ps:P26 ?obj . ?s pq:P580 ?x filter(contains(YEAR(?x),'2006')) }"
How many {exclave of} are to/by {Azerbaijan} ?,2350,statement_property,1694,How many numbers of exclave for the  {Azerbaijan} ?,SELECT (COUNT(?sub) AS ?value ) { ?sub wdt:P500 wd:Q227 },"SELECT (COUNT(?sub) AS ?subs ) {
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> ?sub .
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P500> .
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> http://wikidata.dbpedia.org/resource/Q227 .
} 
",Count ent (ent-pred-obj),How many exclaves does Azerbaijan have?,SELECT (COUNT(?sub) AS ?value ) { ?sub exclave of Azerbaijan }
Did {Michael_J._Fox} {place of birth} {Edmonton}?,364,boolean one_hop right subgraph,364,Was Michael J. Fox's place of birth in Edmonton?,ASK WHERE { wd:Q395274 wdt:P19 wd:Q2096 }, ASK { ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q395274> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P19> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> <http://wikidata.dbpedia.org/resource/Q2096>. } ,Ask (ent-pred-obj),Where was Michael J. Fox born?,ASK WHERE { Michael J. Fox place of birth Edmonton }
What is the {architect} and the {heritage designation} of {Palace_of_Westminster} ?,10093,two intentions right subgraph,262,What is Palace of Westminster's architect and heritage designation?,SELECT ?ans_1 ?ans_2 WHERE { wd:Q62408 wdt:P84 ?ans_1 . wd:Q62408 wdt:P1435 ?ans_2 }, SELECT ?ans_1 ?ans_2 WHERE { ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q62408> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P84> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?ans_1. ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q62408> . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P1435> . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?ans_2. } ,select where (ent-pred-obj1 . ent-pred-obj2),Tell me the architect and heritage designation of Westminster Palace.,SELECT ?ans_1 ?ans_2 WHERE { Palace of Westminster architect ?ans_1 . Palace of Westminster heritage designation ?ans_2 }
Does the {optimum viable temperature} of the {SSK6-1} {greater than} {24.0},18766,boolean with filter,784,is it true that the SSK6-1s optimum viable temperature is greater than 24.0?,ASK WHERE { wd:Q29565582 wdt:P3253 ?obj filter(?obj > 24.0) } ,ASK { ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q29565582> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P3253>. ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?obj. filter(?obj > 24.0) },ASK ?sbj ?pred ?obj filter ?obj = num,Is it correct to say that the SSK6-1s optimum workable temperature is greater than 24.0?,ASK WHERE { SSK6-1 optimum viable temperature ?obj filter(?obj > 24.0) } 
What is the {country} for {significant event} of {Indian independence movement},22008,simple question left,3069,Which country housed the Indian Independence Movement?, select distinct ?sbj where { ?sbj wdt:P793 wd:Q12444025 . ?sbj wdt:P31 wd:Q6256 } ,select distinct ?subj where { ?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> ?subj . ?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P793> . ?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> <http://wikidata.dbpedia.org/resource/Q12444025> . ?subj <http://www.wikidata.org/entity/P31> <http://wikidata.dbpedia.org/resource/Q6256> } ,<?S P O ; ?S InstanceOf Type>,Which nation housed the Indian Freedom Movement?, select distinct ?sbj where { ?sbj significant event Indian independence movement . ?sbj instance of country } 
Give me {nonmetal} that {location of discovery} {England} and which that starts with {'o'},25600,string matching type + relation contains word,3046,Name a nonmetal discovered in England  that starts with letter O,"SELECT DISTINCT ?sbj ?sbj_label WHERE { ?sbj wdt:P31 wd:Q19600 . ?sbj wdt:P189 wd:Q21 . ?sbj rdfs:label ?sbj_label . FILTER(STRSTARTS(lcase(?sbj_label), 'o')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25 ","SELECT DISTINCT ?sbj ?sbj_label { ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> ?sbj . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P31> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> <http://wikidata.dbpedia.org/resource/Q19600>. ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> ?sbj . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P189> . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> <http://wikidata.dbpedia.org/resource/Q21>. ?sbj rdfs:label ?sbj_label . FILTER(STRSTARTS(lcase(?sbj_label), 'o')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25", <?S P O ; ?S instanceOf Type ; starts with character >,Title a nonmetal found in Britain that begins with letter O,"SELECT DISTINCT ?sbj ?sbj_label WHERE { ?sbj instance of nonmetal . ?sbj location of discovery England . ?sbj rdfs:label ?sbj_label . FILTER(STRSTARTS(lcase(?sbj_label), 'o')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25 "
How many {military rank} are to/by {shogun} ?,2034,statement_property,1378,How many shogun military ranks are there?,SELECT (COUNT(?sub) AS ?value ) { ?sub wdt:P410 wd:Q131767 },"SELECT (COUNT(?sub) AS ?subs ) {
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> ?sub .
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P410> .
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> http://wikidata.dbpedia.org/resource/Q131767 .
} 
",Count ent (ent-pred-obj),What number of shogun military ranks exist?,SELECT (COUNT(?sub) AS ?value ) { ?sub military rank shogun }
What is {student of} of {Strabo} that is {sourcing circumstances} is {presumably} ?,7253,statement_property,3698,Who was presumably thought to be a student of Strabo?,SELECT ?obj WHERE { wd:Q45936 p:P1066 ?s . ?s ps:P1066 ?obj . ?s pq:P1480 wd:Q18122778 },"select distinct ?obj  where {
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q45936> .
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P1066> .
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?obj .
?statement <http://www.wikidata.org/entity/P1480> <http://wikidata.dbpedia.org/resource/Q18122778>
} 
",(E pred F) prop ?value,Strabo's student was presumably known as who?,SELECT ?obj WHERE { Strabo p:P1066 ?s . ?s ps:P1066 ?obj . ?s pq:P1480 presumably }
What is {is son of} of {foreis son of} of {Jacob Conover} ?,16549,left-subgraph,4,Who is the son of Jacob Conover?,SELECT ?answer WHERE { wd:Q17853991 wdt:P1365 ?X . ?X wdt:P22 ?answer},SELECT ?answer WHERE { ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q17853991> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P1365>. ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?X . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> ?X. ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P22> . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?answer . },C RCD xD . xD RDE ?E,Who is the child of Jacob Conover?,SELECT ?answer WHERE { Jacob Conover replaces ?X . ?X father ?answer}
What is {nominated for} of {Gordon Lightfoot} that is {point in time} is {1977-0-0} ?,9355,statement_property,5800,Gordon Lightfoot was nominated for what at what time?,"SELECT ?obj WHERE { wd:Q359552 p:P1411 ?s . ?s ps:P1411 ?obj . ?s pq:P585 ?x filter(contains(YEAR(?x),'1977')) }","select distinct ?obj  where {
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q359552> .
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P1411> .
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?obj .
?statement <http://www.wikidata.org/entity/P585> <1977-0-0>
} 
",(E pred F) prop ?value,When was Gordon Lightfoot nominated and for what?,"SELECT ?obj WHERE { Gordon Lightfoot p:P1411 ?s . ?s ps:P1411 ?obj . ?s pq:P585 ?x filter(contains(YEAR(?x),'1977')) }"
What is {date of death} of {John X} that is {sourcing circumstances} is {presumably} ?,6543,statement_property,2988,What is John X's persumed date of date according to sourcing circumstances?,SELECT ?obj WHERE { wd:Q227976 p:P570 ?s . ?s ps:P570 ?obj . ?s pq:P1480 wd:Q18122778 },"select distinct ?obj  where {
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q227976> .
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P570> .
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?obj .
?statement <http://www.wikidata.org/entity/P1480> <http://wikidata.dbpedia.org/resource/Q18122778>
} 
",(E pred F) prop ?value,When is John X believed to have died?,SELECT ?obj WHERE { John X p:P570 ?s . ?s ps:P570 ?obj . ?s pq:P1480 presumably }
What is {patron saint} of {death place} of {Anna de' Medici} ?,14383,left-subgraph,35623,Which is the patron saint of the place of death of Anna de' Medici?,SELECT ?answer WHERE { wd:Q3617854 wdt:P20 ?X . ?X wdt:P417 ?answer},SELECT ?answer WHERE { ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q3617854> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P20>. ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?X . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> ?X. ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P417> . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?answer . },C RCD xD . xD RDE ?E,Which is the benefactor holy person of the put of passing of Anna de' Medici?,SELECT ?answer WHERE { Anna de' Medici place of death ?X . ?X patron saint ?answer}
Does the {fee} of the {Harvard University} {less than} {90.0},19021,boolean with filter,1039,Is it true that the fee of Harvard University is less than 90?,ASK WHERE { wd:Q13371 wdt:P2555 ?obj filter(?obj < 90.0) } ,ASK { ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q13371> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P2555>. ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?obj. filter(?obj < 90.0) },ASK ?sbj ?pred ?obj filter ?obj = num,Is the fee for Harvard University is less than 90?,ASK WHERE { Harvard University fee ?obj filter(?obj < 90.0) } 
What is the {human} for {captain} of {F.C. Porto},20966,simple question right,1312,Who is the captain of F.C. Porto?, select distinct ?obj where { wd:Q128446 wdt:P634 ?obj . ?obj wdt:P31 wd:Q5 } ,select distinct ?obj where { ?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q128446> . ?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P634> . ?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?obj . ?obj <http://www.wikidata.org/entity/P31> <http://wikidata.dbpedia.org/resource/Q5> } , <S P ?O ; ?O instanceOf Type>,Who is the captain of F.C. Porto?, select distinct ?obj where { FC Porto team captain ?obj . ?obj instance of human } 
